name,street,postcode,city,latitude,longitude,turnover,change in turnover,profit,operative profit,personnel
Laparch Oy,Niemeläntie 12,98900,Salla,66.6045062,28.9997469123718,,,,,
Laura Lakua,Serlankuja 1,35100,Orivesi as,0.0,0.0,,,,,
LeaseGreen Suomi Oy,Aku Korhosen tie 8,00440,Helsinki,60.23420625,24.896322304256113,22859.0,-25%,-1318.0,"-3,9%",63.0
Lehtonen Jukka Seppo Tapio,Tanhuanpääntie 27,34150,Kyrönlahti,61.1294157,22.1549867,,,,,
Leif Öst Ab,Strandvägen 24,66640,Maxmo,55.8421351,13.542814800000002,12.0,0%,7.0,60%,1.0
Leriplan,Nöötöntie 70,65610,Mustasaari,63.1412608,21.6772372,,,,,
Leuhu,Pajupurontie 88,43100,Saarijärvi,62.831887,27.1048292,,,,,
Licons Oy,Peurapolku 11,02480,Kirkkonummi,-1.8425051,120.655698,3.0,"-93,2%",-10.0,"-333,3%",1.0
Life Ventures Oy,Keilaranta 12 D,02150,Espoo,60.1765594,24.830495000000003,,,,,
Linja Group Oy,Kansankatu 49,90100,Oulu,11.0071888,-9.168169,,,,,
LinneArk,Jämeräntaival 10 H 133,02150,Espoo,0.0,0.0,,,,,
Linto Oy,Räisäläntie 32 A,02140,Espoo,60.201648600000006,24.8096618,,,0.0,,2.0
Loghousemaster Heikki Enäsuo,Rekitie 16 b J,00950,Helsinki,0.0,0.0,,,,,
Lohman Arkkitehdit Oy ja Arkkitehtitoimisto Lindroos Markus Ky,Vanhaistentie 12 M 77,00420,Helsinki,0.0,0.0,,,,,
Lukka Arkkitehdit,Uikunkuja 13,28100,Pori,61.49953285,21.79652431353525,,,,,
Luminen Oy,Leinolankatu 69 D 14,33580,Tampere,0.0,0.0,,,,,
Lumiotso,Rastasniityntie 54,02620,Espoo,60.2382782,24.768369110814184,,,,,
Lumire Oy,Kaskitie 21 B 21,33540,Tampere,0.0,0.0,,,,,
Lundén Architecture Oy,Siltasaarenkatu 18-20 B,00530,Helsinki,60.18033635000001,24.948899994132642,,,,,
Luo arkkitehdit Oy,Hallituskatu 13-15 D,90100,Oulu,65.0117811,25.478475800000002,1019.0,,217.0,"26,3%",11.0
Luoma Arkkitehtuuri,Kirkkorannankatu 23,68600,Pietarsaari,63.6618836,22.706279300000002,,,,,
Luomakunta Osuuskunta,Engelinaukio 15,00150,Helsinki,60.15632615,24.93732285,40.0,"-21,6%",-2.0,"-4,8%",
Luonnonkoneisto Osuuskunta,Töllintie 277,03850,Pusula,65.007369,25.5394752,22.0,"29,4%",1.0,"9,1%",
Luoto Arkkitehdit Oy,Saariniemenkatu 6 A 22,00530,Helsinki,0.0,0.0,,,,,
Luovaus Arkkitehdit Oy,Lutherinkatu 2,00100,Helsinki,60.1732662,24.926705300000002,917.0,"58,7%",78.0,"10,7%",
LuxLine by B,Teroittajankatu 5 B,28100,Pori,61.491193700000004,21.7612095,,,,,
M. M. Karjanoja Oy Mmk Ltd,Merituulentie 5 C,02120,Espoo,60.392973600000005,25.697448,,,14.0,,
MA-arkkitehdit,Lumpperintie 5,01900,Nurmijärvi,60.4613781,24.815253100000003,228.0,"-64,3%",328.0,"58,2%",3.0
MK Naval Consulting Oy,Paasitie 13-15 D 17,00830,Helsinki,0.0,0.0,,,,,
MK2 Oy,Kumpulantie 1,00520,Helsinki,60.196547100000004,24.9412634,384.0,"-0,5%",14.0,"3,9%",5.0
ML Arkkitehdit,Vattuniemen puistotie 3 B 27,00210,Helsinki,0.0,0.0,,,,,
MNy Arkitekter Ab,Rörsbyvägen 126 B,10520,Tenala,60.068143299999996,23.361334,,,,,
MT Suunnittelu ja Investointipalvelu Oy,Kanervatie 5 as. 1,87500,Kajaani,0.0,0.0,,,,,
MUworks Oy,Brysselinkatu 10 as. 8,00560,Helsinki,0.0,0.0,,,,,
MV-Arts Oy,Lähderanta 20 A 9,02720,Espoo,60.24147610000001,24.738986999999998,,,-2.0,,
MX-Suunnittelu,Järvikorventie 14,28220,Pori,60.1482171,24.6729331,,,,,
Maankäyttö- ja Arkkitehtitoimisto MAJA,Saaristokatu 5,67900,Kokkola,63.093199399999996,21.5596899,,,,,
Maaseuturakennus E. A. I.,Marttilantie 150,21490,Marttila,62.992988399999994,22.3084779,,,,,
Maatieto Oy Ab,Kiurunpolku 3,10210,Inkoo,64.40774105,27.820144163553874,,,,,
Macao Design Oy,Vanha Hämeenkyläntie 25 A,00390,Helsinki,60.2503434,24.833273100000003,15.0,,1.0,"6,7%",
Magnussen Ab Oy,Pietarinkatu 15 L 1,00140,Helsinki,0.0,0.0,,,,,
Maisema rhe Ab Oy,Meriusva 1 A 10,02320,Espoo,60.155058600000004,24.6351178,18.0,"-6,9%",1.0,"7,4%",1.0
Maisema-arkkitehtitoimisto Susanna Mikkola,Mäenrinne 3 A 5,02160,Espoo,60.1669113,24.796314000000002,,,,,
Maisema-arkkitehtuuri Gaiana,Ladonlukonpolku 12,00430,Helsinki,60.25081760000001,24.901979105056764,,,,,
Maisema-arkkitehtuuri PE Oy,Haukantie 37,04320,Tuusula,60.972859400000004,24.3937046,156.0,,19.0,"15,4%",1.0
Maisema-aula Oy,Nummitie 19 B,02730,Espoo,59.82952220000001,23.0004353,89.0,"14,1%",10.0,"13,5%",
Maisemapalvelut Heikkilä,Kairalantie 7,97760,Saariharju,65.9233839,27.187218100000003,,,,,
Maisemastudio Lotta Jalava,Eerikinkatu 42 D 35,00180,Helsinki,0.0,0.0,,,,,
Maisemasuunnittelu UOMA,Tuohitie 4 B 22,96910,Rovaniemi,0.0,0.0,,,,,
Maisematehdas Osk,Terhotie 4a B,00780,Helsinki,60.25658575,24.991537753607865,,,,,
Malli ja Visualisointi 3d-Visiot Tmi,Kuuantie 1,21200,Raisio,60.48690805,22.148463100000008,,,,,
Manichri Oy,Juuritie 7,03100,Nummela,60.31909825,24.872067480161057,14.0,"-33,3%",-2.0,"-21,4%",
Markkinointi Harri Piispanen Tmi,Hakkurintie 15 B,43500,Karstula,66.47316909999999,25.8037458,,,,,
Marks & Marks Consulting Oy,Telaniityntie 16,02170,Espoo,60.16371495,24.7592898,28.0,,-4.0,"-10,7%",
Matroskin Oy,Sastamalankatu 28,38210,Sastamala,62.7914196,22.816419800000002,125.0,"-21,4%",23.0,"23,2%",
Matti Kemppinen,Kannaksentie 60,59100,Parikkala,62.8152413,22.890153899999998,,,,,
Matti Pirttimäki Architecture,Alempi Talonpojantie 4 C 93,00790,Helsinki,0.0,0.0,,,,,
Matti Pulmuranta,Suurpäänkatu 35 A 7,20610,Turku,0.0,0.0,,,,,
Matti Wäre,Rakuunantie 10 A 19,00330,Helsinki,0.0,0.0,,,,,
Mattila & Merz,Sorvaajankatu 9b,00880,Helsinki,60.19538420000001,25.0439976,,,,,
Maxarch,Mindeninkuja 2 C 13,02780,Espoo,0.0,0.0,,,,,
Meander Oy,Kauppatie 20,58500,Punkaharju,61.677164100000006,27.207908459357824,72.0,2300%,7.0,"12,5%",
Megatrend arkkitehdit,Rautatienkatu 26 A 13,33100,Tampere,0.0,0.0,,,,,
Mer Arkkitehdit Oy,Kapteeninkatu 8-10 F 29,00140,Helsinki,0.0,0.0,,,,,
Meriläinen Architecture & Urbanism,Saarenkatu 15 A 2,00550,Helsinki,0.0,0.0,,,,,
